id,name,x,y
"yatap","Yatap","21.547080993652344","-5.500052452087402"
"imae","Imae","18.297048568725586","-5.500052452087402"
"sunae","Sunae","22.86740493774414","-5.500052452087402"
"jeongja","Jeongja","29.375280380249023","-5.500052452087402"
"ori","Ori","11.312607765197754","-5.500052452087402"
"jukjeon","Jukjeon","29.031526565551758","-5.500052452087402"
"bangi","Bangi","20.937700271606445","-5.500052452087402"
"ogeum","Ogeum","27.195571899414062","-5.500052452087402"
"gunja","Gunja","21.570518493652344","-5.500052452087402"
"geoyeo","Geoyeo","28.633085250854492","-5.500052452087402"
"jamsil","Jamsil","23.008031845092773","-5.500052452087402"
"dogok","Dogok","24.304920196533203","-5.500052452087402"
"moran","Moran","24.047103881835938","-5.500052452087402"
"surisan","Surisan","27.258071899414062","-5.500052452087402"
"banwol","Banwol","27.73464012145996","-5.500052452087402"
"sanbon","Sanbon","28.133081436157227","-5.500052452087402"
"gojan","Gojan","21.609580993652344","-5.500052452087402"
"choji","Choji","18.836116790771484","-5.500052452087402"
"ansan","Ansan","23.070531845092773","-5.500052452087402"
"oido","Oido","17.906421661376953","-5.500052452087402"
"godeok","Godeok","29.000276565551758","-5.500052452087402"
"gangil","Gangil","23.39866065979004","-5.500052452087402"
"misa","Misa","17.187664031982422","-5.500052452087402"
"amsa","Amsa","20.64863395690918","-5.500052452087402"
"dasan","Dasan","22.89865493774414","-5.500052452087402"
"nowon","Nowon","26.96900749206543","-5.500052452087402"
"dong-o","Dong-o","28.515897750854492","-5.500052452087402"
"hyoja","Hyoja","21.43770408630371","-5.500052452087402"
"gonje","Gonje","21.859582901000977","-5.500052452087402"
"jangam","Jangam","28.804962158203125","-5.500052452087402"
"balgok","Balgok","25.218990325927734","-5.500052452087402"
"madeul","Madeul","27.617450714111328","-5.500052452087402"
"onam","Onam","22.445526123046875","-5.500052452087402"
"jinjeop","Jinjeop","26.90650749206543","-5.500052452087402"
"maseok","Maseok","28.742462158203125","-5.500052452087402"
"galmae","Galmae","27.953392028808594","-5.500052452087402"
"chunui","Chunui","26.35181427001953","-5.500052452087402"
"sangok","Sangok","27.258071899414062","-5.500052452087402"
"darwol","Darwol","26.695566177368164","-5.500052452087402"
"wolgot","Wolgot","27.02369499206543","-5.500052452087402"
"yeonsu","Yeonsu","27.625263214111328","-5.500052452087402"
"songdo","Songdo","28.42214584350586","-5.500052452087402"
"pangyo","Pangyo","27.633075714111328","-5.500052452087402"
"sinpo","Sinpo","21.109577178955078","-5.500052452087402"
"sungui","Sungui","25.484617233276367","-5.500052452087402"
"mansu","Mansu","24.73461151123047","-5.500052452087402"
"unyeon","Unyeon","29.15652847290039","-5.500052452087402"
"majeon","Majeon","27.570575714111328","-5.500052452087402"
"juan-natl-industrial-park","Juan Nat'l  				Industrial Park","18.03756332397461","5.299947738647461"
"gajaeul","Gajaeul","27.539325714111328","-5.500052452087402"
"chowol","Chowol","28.148706436157227","-5.500052452087402"
"icheon","Icheon","25.328367233276367","-5.500052452087402"
"bubal","Bubal","21.234577178955078","-5.500052452087402"
"yeoju","Yeoju","21.117389678955078","-5.500052452087402"
"gaori","Gaori","19.89862632751465","-5.500052452087402"
"siu","Siu","11.343857765197754","-5.500052452087402"
"seonbu","Seonbu","28.32839584350586","-5.500052452087402"
"dalmi","Dalmi","21.40645408630371","-5.500052452087402"
"sosaeul","Sosaeul","28.625272750854492","-5.500052452087402"
"wonsi","Wonsi","23.078344345092773","-5.500052452087402"
"gochon","Gochon","28.992464065551758","-5.500052452087402"
"sau","Sau","13.547003746032715","-5.500052452087402"
"unyang","Unyang","28.656522750854492","-5.500052452087402"
"janggi","Janggi","24.023666381835938","-5.500052452087402"
"masan","Masan","24.21116828918457","-5.500052452087402"
"gurae","Gurae","22.218961715698242","-5.500052452087402"
"hagik","Hagik","21.109577178955078","-5.500052452087402"
"kintex","Kintex","23.968978881835938","-5.500052452087402"
